Filename                                                                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
include/ogdf/basic/heap/PairingHeap.h                                                            78                 5    93.59%          14                 1    92.86%         126                 8    93.65%          38                 3    92.11%
include/ogdf/basic/internal/config.h                                                              7                 7     0.00%           7                 7     0.00%          33                33     0.00%           0                 0         -
include/ogdf/basic/internal/graph_iterators.h                                                    36                 6    83.33%          11                 0   100.00%          20                 0   100.00%           4                 2    50.00%
include/ogdf/basic/internal/list_templates.h                                                     46                 9    80.43%           8                 1    87.50%          93                22    76.34%          36                 9    75.00%
include/ogdf/basic/memory.h                                                                      26                 3    88.46%           8                 3    62.50%          40                 7    82.50%          12                 0   100.00%
include/ogdf/basic/memory/MallocMemoryAllocator.h                                                21                13    38.10%          14                10    28.57%          27                12    55.56%           4                 1    75.00%
include/ogdf/basic/memory/PoolMemoryAllocator.h                                                  11                 3    72.73%           7                 3    57.14%          21                 6    71.43%           0                 0         -
include/ogdf/basic/pqtree/PQBasicKey.h                                                            5                 1    80.00%           4                 1    75.00%           4                 1    75.00%           0                 0         -
include/ogdf/basic/pqtree/PQBasicKeyRoot.h                                                        2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
include/ogdf/basic/pqtree/PQInternalNode.h                                                       15                 7    53.33%          11                 4    63.64%          24                12    50.00%           2                 2     0.00%
include/ogdf/basic/pqtree/PQLeaf.h                                                               18                10    44.44%          11                 4    63.64%          30                18    40.00%           4                 4     0.00%
include/ogdf/basic/pqtree/PQLeafKey.h                                                             5                 2    60.00%           4                 2    50.00%           4                 2    50.00%           0                 0         -
include/ogdf/basic/pqtree/PQNode.h                                                               94                10    89.36%          21                 0   100.00%         134                 4    97.01%          44                 8    81.82%
include/ogdf/basic/pqtree/PQNodeKey.h                                                             5                 1    80.00%           4                 1    75.00%           4                 1    75.00%           0                 0         -
include/ogdf/basic/pqtree/PQNodeRoot.h                                                            2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
include/ogdf/basic/precondition.h                                                                49                49     0.00%           3                 3     0.00%          76                76     0.00%          34                34     0.00%
include/ogdf/basic/simple_graph_alg.h                                                           107                16    85.05%          32                 7    78.12%         214                32    85.05%          68                12    82.35%
include/ogdf/basic/tuples.h                                                                      12                 5    58.33%           8                 3    62.50%          12                 7    41.67%           4                 4     0.00%
include/ogdf/clique/CliqueFinderModule.h                                                          6                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
include/ogdf/clique/CliqueFinderSPQR.h                                                            3                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/ogdf/cluster/CPlanarEdgeInserter.h                                                        4                 2    50.00%           4                 2    50.00%           4                 2    50.00%           0                 0         -
include/ogdf/cluster/CPlanarSubClusteredGraph.h                                                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/ogdf/cluster/CPlanarSubgraphModule.h                                                      2                 1    50.00%           2                 1    50.00%           4                 3    25.00%           0                 0         -
include/ogdf/cluster/CconnectClusterPlanar.h                                                      2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
include/ogdf/cluster/CconnectClusterPlanarEmbed.h                                                 1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/ogdf/cluster/ClusterAnalysis.h                                                            4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
include/ogdf/cluster/ClusterGraph.h                                                             152                41    73.03%          64                20    68.75%         221                75    66.06%          52                17    67.31%
include/ogdf/cluster/ClusterGraphAttributes.h                                                   194                25    87.11%          26                 1    96.15%          98                 1    98.98%          48                12    75.00%
include/ogdf/cluster/ClusterGraphCopyAttributes.h                                                24                24     0.00%          14                14     0.00%          31                31     0.00%           4                 4     0.00%
include/ogdf/cluster/ClusterOrthoLayout.h                                                        16                16     0.00%          16                16     0.00%          20                20     0.00%           0                 0         -
include/ogdf/cluster/ClusterOrthoShaper.h                                                        24                16    33.33%          16                10    37.50%          79                56    29.11%          12                 9    25.00%
include/ogdf/cluster/ClusterPlanRep.h                                                            55                22    60.00%          12                 1    91.67%          47                 9    80.85%          14                 7    50.00%
include/ogdf/cluster/ClusterPlanarModule.h                                                        3                 3     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
include/ogdf/cluster/ClusterPlanarity.h                                                          72                72     0.00%          39                39     0.00%          77                77     0.00%           0                 0         -
include/ogdf/cluster/ClusterPlanarizationLayout.h                                                 5                 4    20.00%           5                 4    20.00%           7                 6    14.29%           0                 0         -
include/ogdf/cluster/ClusterSet.h                                                                 1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
include/ogdf/cluster/HananiTutteCPlanarity.h                                                     11                11     0.00%          11                11     0.00%          11                11     0.00%           0                 0         -
include/ogdf/cluster/LayoutClusterPlanRepModule.h                                                 5                 2    60.00%           5                 2    60.00%           5                 2    60.00%           0                 0         -
include/ogdf/cluster/MaximumCPlanarSubgraph.h                                                    40                37     7.50%          40                37     7.50%          62                52    16.13%           0                 0         -
include/ogdf/cluster/internal/CP_MasterBase.h                                                    65                65     0.00%          54                54     0.00%          84                84     0.00%           6                 6     0.00%
include/ogdf/cluster/internal/CPlanarEdgeVar.h                                                    6                 6     0.00%           4                 4     0.00%           8                 8     0.00%           0                 0         -
include/ogdf/cluster/internal/CPlanarSubClusteredST.h                                            41                 9    78.05%           5                 0   100.00%          50                 2    96.00%          26                 8    69.23%
include/ogdf/cluster/internal/CPlanarityMaster.h                                                 65                65     0.00%          45                45     0.00%          75                75     0.00%          10                10     0.00%
include/ogdf/cluster/internal/CPlanaritySub.h                                                    48                48     0.00%          14                14     0.00%          68                68     0.00%          22                22     0.00%
include/ogdf/cluster/internal/ChunkConnection.h                                                   8                 8     0.00%           3                 3     0.00%          18                18     0.00%           6                 6     0.00%
include/ogdf/cluster/internal/ClusterKuratowskiConstraint.h                                       2                 0   100.00%           1                 0   100.00%           7                 0   100.00%           2                 0   100.00%
include/ogdf/cluster/internal/ClusterPQContainer.h                                               23                 0   100.00%           4                 0   100.00%          46                 0   100.00%           8                 2    75.00%
include/ogdf/cluster/internal/CutConstraint.h                                                     4                 4     0.00%           3                 3     0.00%          12                12     0.00%           2                 2     0.00%
include/ogdf/cluster/internal/EdgeVar.h                                                           8                 1    87.50%           5                 0   100.00%           9                 0   100.00%           2                 1    50.00%
include/ogdf/cluster/internal/MaxCPlanarMaster.h                                                 57                32    43.86%          52                28    46.15%          74                40    45.95%           4                 3    25.00%
include/ogdf/cluster/internal/MaxCPlanarSub.h                                                    48                28    41.67%          14                 6    57.14%          68                37    45.59%          22                15    31.82%
include/ogdf/cluster/internal/basics.h                                                            3                 3     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
include/ogdf/decomposition/BCTree.h                                                              33                 3    90.91%          22                 3    86.36%          35                 3    91.43%           6                 0   100.00%
include/ogdf/decomposition/DynamicBCTree.h                                                        8                 2    75.00%           6                 2    66.67%          10                 2    80.00%           0                 0         -
include/ogdf/decomposition/DynamicSPQRForest.h                                                   30                 8    73.33%          19                 8    57.89%          61                19    68.85%           8                 0   100.00%
include/ogdf/decomposition/DynamicSPQRTree.h                                                     27                27     0.00%          16                16     0.00%          47                47     0.00%           8                 8     0.00%
include/ogdf/decomposition/DynamicSkeleton.h                                                      2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
include/ogdf/decomposition/PertinentGraph.h                                                      10                 4    60.00%           9                 4    55.56%          15                 4    73.33%           0                 0         -
include/ogdf/decomposition/PlanarSPQRTree.h                                                       2                 2     0.00%           2                 2     0.00%           5                 5     0.00%           0                 0         -
include/ogdf/decomposition/SPQRTree.h                                                            33                 4    87.88%           7                 0   100.00%          43                 0   100.00%          16                 3    81.25%
include/ogdf/decomposition/Skeleton.h                                                             7                 0   100.00%           6                 0   100.00%           6                 0   100.00%           0                 0         -
include/ogdf/decomposition/StaticPlanarSPQRTree.h                                                 6                 4    33.33%           4                 3    25.00%          12                 9    25.00%           0                 0         -
include/ogdf/decomposition/StaticSPQRTree.h                                                      34                10    70.59%          17                 6    64.71%          41                12    70.73%          10                 1    90.00%
include/ogdf/decomposition/StaticSkeleton.h                                                       5                 0   100.00%           5                 0   100.00%           5                 0   100.00%           0                 0         -
include/ogdf/energybased/DavidsonHarel.h                                                          2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
include/ogdf/energybased/DavidsonHarelLayout.h                                                   10                10     0.00%          10                10     0.00%          10                10     0.00%           0                 0         -
include/ogdf/energybased/FMMMLayout.h                                                           215                46    78.60%          97                 6    93.81%         164                24    85.37%          80                38    52.50%
include/ogdf/energybased/FastMultipoleEmbedder.h                                                  7                 4    42.86%           7                 4    42.86%          11                 4    63.64%           0                 0         -
include/ogdf/energybased/ForceLayoutModule.h                                                      3                 2    33.33%           3                 2    33.33%           9                 8    11.11%           0                 0         -
include/ogdf/energybased/GEMLayout.h                                                             27                25     7.41%          27                25     7.41%          65                63     3.08%           0                 0         -
include/ogdf/energybased/NodeRespecterLayout.h                                                   38                18    52.63%          21                17    19.05%          43                19    55.81%          20                 4    80.00%
include/ogdf/energybased/PivotMDS.h                                                              16                 3    81.25%           9                 3    66.67%          19                 3    84.21%           2                 0   100.00%
include/ogdf/energybased/SpringEmbedderFRExact.h                                                 24                19    20.83%          22                17    22.73%          29                24    17.24%           2                 2     0.00%
include/ogdf/energybased/SpringEmbedderGridVariant.h                                              1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
include/ogdf/energybased/SpringEmbedderKK.h                                                      22                18    18.18%          14                13     7.14%          45                34    24.44%           8                 6    25.00%
include/ogdf/energybased/StressMinimization.h                                                     8                 8     0.00%           8                 8     0.00%          16                16     0.00%           0                 0         -
include/ogdf/energybased/TutteLayout.h                                                            2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
include/ogdf/energybased/davidson_harel/Attraction.h                                              2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
include/ogdf/energybased/davidson_harel/EnergyFunction.h                                          7                 2    71.43%           7                 2    71.43%           7                 2    71.43%           0                 0         -
include/ogdf/energybased/davidson_harel/NodePairEnergy.h                                          4                 1    75.00%           4                 1    75.00%           7                 1    85.71%           0                 0         -
include/ogdf/energybased/davidson_harel/Overlap.h                                                 1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
include/ogdf/energybased/davidson_harel/UniformGrid.h                                            45                45     0.00%           6                 6     0.00%          52                52     0.00%          30                30     0.00%
include/ogdf/energybased/fast_multipole_embedder/ArrayGraph.h                                    31                 9    70.97%          28                 9    67.86%          73                26    64.38%           6                 0   100.00%
include/ogdf/energybased/fast_multipole_embedder/ComplexDouble.h                                 26                 6    76.92%          26                 6    76.92%         102                27    73.53%           0                 0         -
include/ogdf/energybased/fast_multipole_embedder/EdgeChain.h                                     26                26     0.00%           2                 2     0.00%           8                 8     0.00%          12                12     0.00%
include/ogdf/energybased/fast_multipole_embedder/FMEFunc.h                                      180                62    65.56%          68                23    66.18%         431               154    64.27%          66                37    43.94%
include/ogdf/energybased/fast_multipole_embedder/FMEFunctional.h                                 34                 4    88.24%          19                 3    84.21%          53                 7    86.79%           2                 0   100.00%
include/ogdf/energybased/fast_multipole_embedder/FMEKernel.h                                     67                 0   100.00%          19                 0   100.00%         121                 0   100.00%          28                 1    96.43%
include/ogdf/energybased/fast_multipole_embedder/FMEMultipoleKernel.h                            28                 9    67.86%           6                 1    83.33%          50                22    56.00%          16                 9    43.75%
include/ogdf/energybased/fast_multipole_embedder/FMEThread.h                                     17                 2    88.24%          13                 2    84.62%          25                 2    92.00%           2                 0   100.00%
include/ogdf/energybased/fast_multipole_embedder/FastUtils.h                                     58                 8    86.21%          25                 7    72.00%         168                70    58.33%          20                 1    95.00%
include/ogdf/energybased/fast_multipole_embedder/GalaxyMultilevel.h                               7                 0   100.00%           5                 0   100.00%          24                 0   100.00%           2                 0   100.00%
include/ogdf/energybased/fast_multipole_embedder/LinearQuadtree.h                               197                54    72.59%         107                38    64.49%         271                76    71.96%          40                 4    90.00%
include/ogdf/energybased/fast_multipole_embedder/LinearQuadtreeBuilder.h                         29                 0   100.00%           5                 0   100.00%          51                 0   100.00%          12                 2    83.33%
include/ogdf/energybased/fast_multipole_embedder/LinearQuadtreeExpansion.h                        5                 5     0.00%           5                 5     0.00%           5                 5     0.00%           0                 0         -
include/ogdf/energybased/fast_multipole_embedder/WSPD.h                                           9                 9     0.00%           9                 9     0.00%          13                13     0.00%           0                 0         -
include/ogdf/energybased/fmmm/EdgeAttributes.h                                                   17                 4    76.47%          17                 4    76.47%          24                 4    83.33%           0                 0         -
